iter	Passed	Remaining
0	138	13694
1	139	6829
2	140	4537
3	141	3385
4	142	2700
5	143	2241
6	143	1912
7	144	1664
8	145	1471
9	146	1321
10	147	1195
11	148	1091
12	149	1002
13	150	926
14	151	859
15	152	801
16	153	749
17	154	702
18	155	661
19	155	623
20	156	589
21	157	558
22	158	530
23	159	504
24	160	480
25	161	458
26	162	438
27	162	418
28	163	400
29	164	384
30	165	368
31	166	353
32	167	340
33	168	327
34	169	315
35	170	303
36	171	292
37	172	282
38	174	272
39	175	263
40	176	254
41	177	244
42	178	236
43	179	228
44	180	220
45	181	213
46	182	206
47	184	199
48	185	193
49	186	186
50	188	181
51	189	174
52	190	168
53	191	162
54	191	156
55	192	151
56	193	146
57	194	140
58	195	135
59	196	130
60	197	126
61	198	121
62	199	117
63	200	113
64	201	108
65	202	104
66	203	100
67	204	96
68	205	92
69	206	88
70	207	84
71	207	80
72	208	77
73	209	73
74	210	70
75	211	66
76	211	63
77	212	60
78	213	56
79	214	53
80	215	50
81	215	47
82	216	44
83	217	41
84	218	38
85	219	35
86	220	32
87	221	30
88	222	27
89	223	24
90	223	22
91	224	19
92	225	16
93	226	14
94	227	11
95	227	9
96	228	7
97	229	4
98	230	2
99	230	0
